,ID,Revenue
0,ul-stv160,406370.0
1,ul-stv180,269584.0
2,ul-stv110,334637.0
3,ul-stv156,615312.0
4,ul-stv141,113757.0
5,ul-stv134,143617.0
6,ul-stv133,799629.0
7,ul-stv131,275716.0
8,ul-stv190,397276.0
9,ul-stv144,400177.0
10,ul-stv124,105885.0
11,ul-stv130,507082.0
12,ul-stv151,168826.0
13,ul-stv121,241691.0
14,ul-stv114,256327.0
15,ul-stv145,986612.0
16,ul-stv159,131728.0
17,ul-stv155,949739.0
18,ul-stv152,390113.0
19,ul-stv112,143880.0
20,ul-stv153,981999.0
21,ul-stv150,154161.0
22,ul-stv113,437005.0
23,ul-stv111,371906.0
24,ul-stv140,295256.0
25,ul-stv148,377665.0
26,ul-stv123,589028.0
27,ul-stv142,367327.0
28,ul-stv147,159892.0
29,ul-stv164,481224.0
30,ul-stv161,180613.0
31,ul-stv143,129305.0
32,ul-stv188,198421.0
33,ul-stv158,201390.0
34,ul-stv154,720938.0
35,ul-stv157,127824.0
36,ul-stv120,170191.0
